feature,mean,std
max_days_on_chart,0.29592213382824956,0.006186612670280432
country_idx,0.2894423573906457,0.004620280322746771
country_count_by_artist,0.2142500738995376,0.005414600593517825
days_on_chart,0.15632116320517106,0.006522343238448096
scope_idx,0.03534298395603389,0.004472478009262197
tenure_idx,0.008721287720362163,0.001889395409852521
