k,inertia,silhouette
2,541334.2097247276,0.4944612845910497
3,404712.2663690601,0.4686773760186657
4,325430.06442383677,0.4678155676075842
5,286610.506843214,0.44529560189972356
6,251701.69312958556,0.446300209672898
