metric,mean,std,min,max,baseline_mean,baseline_std,delta_model_minus_baseline
accuracy,0.7385481964800166,0.004353583084427793,0.7344964631189542,0.7446633005049242,0.7447971089394729,1.610796650551448e-05,-0.006248912459456357
f1_weighted,0.7506081589026484,0.0037588309600266965,0.7471755547550906,0.7558429829677968,0.6358592992969287,2.163373655003053e-05,0.11474885960571968
precision_weighted,0.7772269506634156,0.0019137948964560337,0.7753526728470316,0.7796247351750227,0.5547227336921703,2.3994659128659274e-05,0.22250421697124534
recall_weighted,0.7385481964800165,0.0043535830844278,0.7344964631189541,0.7446633005049242,0.7447971089394729,1.610796650551448e-05,-0.006248912459456468
auc_roc,0.7880929676855818,0.002402963443555104,0.7845808354949204,0.7911558424251939,0.5,0.0,0.2880929676855818
